,,,,,,,,Problèmes de santé mentale,,,,,,,,,,,,,Cuidador 
,,,,,,,,ESPT,,,,,,,,,,,,,Cuidadores 
,,,,,,,,Traumatisme ,,,,,,,,,,,,,Cuidado familiar 
,,,,,,,,Besoins psychologiques,,,,,,,,,,,,,
,,,,,,,,Soutien psychologique,,,,,,,,,,,,,
,,,,,,,,Psychiatrique,,,,,,,,,,,,,
,,,,,,,,Spectre ,,,,,,,,,,,,,
,,,,,,,,Autisme,,,,,,,,,,,,,
,,,,,,,,Autistique,,,,,,,,,,,,,
,,,,,,,,Trouble bipolaire,,,,,,,,,,,,,
,,,,,,,,Schizophrénie,,,,,,,,,,,,,
,,,,,,,,Langzeitpflege,,,,,,,,,,,,,
,,,,,,,,Langzeitpflege,,,,,,,,,,,,,
,,,,,,,,In der häuslichen Pflege,,,,,,,,,,,,,
,,,,,,,,Pflege zu Hause,,,,,,,,,,,,,
,,,,,,,,leben in Pflege,,,,,,,,,,,,,
,,,,,,,,Heimpflege,,,,,,,,,,,,,
,,,,,,,,Behinderung,,,,,,,,,,,,,
,,,,,,,,Behinderung,,,,,,,,,,,,,
,,,,,,,,Behinderungen,,,,,,,,,,,,,
,,,,,,,,Behindert,,,,,,,,,,,,,
,,,,,,,,Behindert,,,,,,,,,,,,,
,,,,,,,,Behindert,,,,,,,,,,,,,
,,,,,,,,Behindert,,,,,,,,,,,,,
,,,,,,,,Behinderung,,,,,,,,,,,,,
,,,,,,,,Blind,,,,,,,,,,,,,
,,,,,,,,Blind,,,,,,,,,,,,,
,,,,,,,,Sehbehindert ,,,,,,,,,,,,,
,,,,,,,,Sehbehindert ,,,,,,,,,,,,,
,,,,,,,,Taub ,,,,,,,,,,,,,
,,,,,,,,Taub ,,,,,,,,,,,,,
,,,,,,,,Zerebralparese ,,,,,,,,,,,,,
,,,,,,,,Zerebralparese ,,,,,,,,,,,,,
,,,,,,,,Downsyndrom ,,,,,,,,,,,,,
,,,,,,,,Epilepsie ,,,,,,,,,,,,,
,,,,,,,,Entwicklungsstörung ,,,,,,,,,,,,,
,,,,,,,,Besondere Bedürfnisse,,,,,,,,,,,,,
,,,,,,,,Besondere Bedürfnisse,,,,,,,,,,,,,
,,,,,,,,Zusätzlicher Pflegebedarf,,,,,,,,,,,,,
,,,,,,,,Zusätzlicher Bedarf,,,,,,,,,,,,,
,,,,,,,,Psychischer Gesundheitszustand ,,,,,,,,,,,,,
,,,,,,,,Psychische Erkrankungen ,,,,,,,,,,,,,
,,,,,,,,Geisteskrankheit ,,,,,,,,,,,,,
,,,,,,,,Psychisches Wohlbefinden,,,,,,,,,,,,,
,,,,,,,,Psychische Verfassung ,,,,,,,,,,,,,
,,,,,,,,Psychischer Gesundheitszustand,,,,,,,,,,,,,
,,,,,,,,Psychische Erkrankungen,,,,,,,,,,,,,
,,,,,,,,Problem der psychischen Gesundheit,,,,,,,,,,,,,
,,,,,,,,Psychische Probleme,,,,,,,,,,,,,
,,,,,,,,PTSD,,,,,,,,,,,,,
,,,,,,,,Trauma ,,,,,,,,,,,,,
,,,,,,,,Psychologische Bedürfnisse,,,,,,,,,,,,,
,,,,,,,,Psychologische Unterstützung,,,,,,,,,,,,,
,,,,,,,,Psychiatrisch,,,,,,,,,,,,,
,,,,,,,,Spektrum ,,,,,,,,,,,,,
,,,,,,,,Autismus,,,,,,,,,,,,,
,,,,,,,,Autistisch,,,,,,,,,,,,,
,,,,,,,,Bipolare Störung,,,,,,,,,,,,,
,,,,,,,,Schizophrenie,,,,,,,,,,,,,
,,,,,,,,Cuidados a largo plazo,,,,,,,,,,,,,
,,,,,,,,Cuidados a largo plazo,,,,,,,,,,,,,
,,,,,,,,En la atención domiciliaria,,,,,,,,,,,,,
,,,,,,,,Cuidado en el hogar,,,,,,,,,,,,,
,,,,,,,,vivir en cuidado,,,,,,,,,,,,,
,,,,,,,,atención residencial,,,,,,,,,,,,,
,,,,,,,,invalidez,,,,,,,,,,,,,
,,,,,,,,Discapacidad,,,,,,,,,,,,,
,,,,,,,,Discapacidades,,,,,,,,,,,,,
,,,,,,,,Deshabilitado,,,,,,,,,,,,,
,,,,,,,,Minusválido,,,,,,,,,,,,,
,,,,,,,,Minusválida,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Desventaja,,,,,,,,,,,,,
,,,,,,,,Ciego,,,,,,,,,,,,,
,,,,,,,,Ciega,,,,,,,,,,,,,
,,,,,,,,Personas con discapacidad visual ,,,,,,,,,,,,,
,,,,,,,,Deficientes visuales,,,,,,,,,,,,,
,,,,,,,,Sordo ,,,,,,,,,,,,,
,,,,,,,,Sorda,,,,,,,,,,,,,
,,,,,,,,Parálisis cerebral ,,,,,,,,,,,,,
,,,,,,,,Parálisis cerebral ,,,,,,,,,,,,,
,,,,,,,,Síndrome de Down ,,,,,,,,,,,,,
,,,,,,,,Epilepsia ,,,,,,,,,,,,,
,,,,,,,,Trastorno del desarrollo ,,,,,,,,,,,,,
,,,,,,,,Necesidades especiales,,,,,,,,,,,,,
,,,,,,,,Necesidades especiales,,,,,,,,,,,,,
,,,,,,,,Necesidades de atención adicionales,,,,,,,,,,,,,
,,,,,,,,Necesidades adicionales,,,,,,,,,,,,,
,,,,,,,,Condición de salud mental ,,,,,,,,,,,,,
,,,,,,,,Condiciones de salud mental ,,,,,,,,,,,,,
,,,,,,,,Enfermedad mental ,,,,,,,,,,,,,
,,,,,,,,Bienestar mental,,,,,,,,,,,,,
,,,,,,,,Condición mental ,,,,,,,,,,,,,
,,,,,,,,Condición de salud mental,,,,,,,,,,,,,
,,,,,,,,Condiciones de salud mental,,,,,,,,,,,,,
,,,,,,,,Problema de salud mental,,,,,,,,,,,,,
,,,,,,,,Problemas de salud mental,,,,,,,,,,,,,
,,,,,,,,Trastorno de estrés postraumático,,,,,,,,,,,,,
,,,,,,,,Trauma ,,,,,,,,,,,,,
,,,,,,,,Necesidades psicológicas,,,,,,,,,,,,,
,,,,,,,,Apoyo psicológico,,,,,,,,,,,,,
,,,,,,,,Psiquiátrico,,,,,,,,,,,,,
,,,,,,,,Espectro ,,,,,,,,,,,,,
,,,,,,,,Autismo,,,,,,,,,,,,,
,,,,,,,,Autista,,,,,,,,,,,,,
,,,,,,,,Trastorno bipolar,,,,,,,,,,,,,
,,,,,,,,Esquizofrenia,,,,,,,,,,,,,
