Candid grant_strategy_tran,Tidied 5-digit purpose name,Tidied 3-digit sector name
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Capacity-building and technical assistance",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Capacity-building and technical assistance; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Continuing support; Participatory grantmaking",Multisector education/training,Other Multisector
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Management and leadership development",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Network-building and collaboration",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Product and service delivery",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Program evaluations; Capacity-building and technical assistance",Public sector policy and administrative management,Government & Civil Society
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education",Education facilities and training,Education
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance; Network-building and collaboration; Participatory grantmaking",Education facilities and training,Education
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance; Participatory grantmaking",Education facilities and training,Education
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Conferences and exhibits",Education facilities and training,Education
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Continuing support",Education facilities and training,Education
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Online engagement",Education facilities and training,Education
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Participatory grantmaking",Education facilities and training,Education
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Recordings; Continuing support; Participatory grantmaking",Education facilities and training,Education
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Research",Education facilities and training,Education
"Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Recordings",Education facilities and training,Education
Advocacy; Equal access; Systems reform; Public engagement and education; Grassroots organizing; Research; Conferences and exhibits,Education facilities and training,Education
Advocacy; Equal access; Systems reform; Public engagement and education; Litigation,Education facilities and training,Education
Advocacy; Ethics and accountability,Education facilities and training,Education
Advocacy; Ethics and accountability; Research and evaluation; Systems reform,Multisector education/training,Other Multisector
Advocacy; General support,Multisector education/training,Other Multisector
Advocacy; General support; Conference attendance; Equal access,Multisector education/training,Other Multisector
Advocacy; General support; Continuing support,Multisector education/training,Other Multisector
Advocacy; General support; Equal access; Systems reform; Public engagement and education; Product and service delivery,Multisector education/training,Other Multisector
Advocacy; General support; Grassroots organizing; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Advocacy; General support; Grassroots organizing; Public engagement and education; System and operational improvements,Multisector education/training,Other Multisector
Advocacy; General support; Participatory grantmaking,Multisector education/training,Other Multisector
Advocacy; Grassroots organizing,Other Multisector,Other Multisector
Advocacy; Grassroots organizing; Capacity-building and technical assistance; Conference attendance; Emergency funds; Leadership and professional development,Other Multisector,Other Multisector
Advocacy; Grassroots organizing; Capacity-building and technical assistance; Public engagement and education,Education facilities and training,Education
Advocacy; Grassroots organizing; General support; Capacity-building and technical assistance,Education facilities and training,Education
Advocacy; Grassroots organizing; Outreach; System and operational improvements,Education facilities and training,Education
Advocacy; Grassroots organizing; Product and service delivery,Education facilities and training,Education
Advocacy; Grassroots organizing; Public engagement and education,Education facilities and training,Education
Advocacy; Grassroots organizing; Public engagement and education; Equal access,Education facilities and training,Education
Advocacy; Litigation; Presentations and productions; Participatory grantmaking,Education facilities and training,Education
Advocacy; Litigation; Product and service delivery,Education facilities and training,Education
Advocacy; Litigation; Program support; Outreach; Land acquisitions,Education facilities and training,Education
Advocacy; Management and leadership development; Information and Referral,Other Multisector,Other Multisector
Advocacy; Network-building and collaboration,Other Multisector,Other Multisector
"Advocacy; Network-building and collaboration; Equal access; Systems reform; Policy, advocacy and systems reform; Participatory grantmaking",Education facilities and training,Education
Advocacy; Network-building and collaboration; Equal access; Systems reform; Public engagement and education; Capacity-building and technical assistance,Education facilities and training,Education
Advocacy; Network-building and collaboration; Presentations and productions,Education facilities and training,Education
Advocacy; Network-building and collaboration; Program support,Education facilities and training,Education
Advocacy; Network-building and collaboration; System and operational improvements,Education facilities and training,Education
Advocacy; Nonprofit collaborations; Program support,Education facilities and training,Education
Advocacy; Online engagement,Education facilities and training,Education
Advocacy; Online media,Education facilities and training,Education
Advocacy; Outreach,Education facilities and training,Education
Advocacy; Outreach; Equal access; Capacity-building and technical assistance; Network-building and collaboration,Education facilities and training,Education
Advocacy; Outreach; Program support,Education facilities and training,Education
Advocacy; Outreach; System and operational improvements,Education facilities and training,Education
Advocacy; Outreach; Systems reform; Program support,Education facilities and training,Education
Advocacy; Participatory grantmaking,Education facilities and training,Education
Advocacy; Presentations and productions,Education facilities and training,Education
Advocacy; Presentations and productions; Participatory grantmaking; Capacity-building and technical assistance; General support,Multisector education/training,Other Multisector
Advocacy; Product and service delivery,Multisector education/training,Other Multisector
Advocacy; Product and service delivery; Equal access; Capacity-building and technical assistance,Educational research,Education
Advocacy; Product and service delivery; Public engagement and education,Education facilities and training,Education
Advocacy; Program creation; Student aid; Building acquisitions,Education facilities and training,Education
Advocacy; Program expansion; Participatory grantmaking,Education facilities and training,Education
Advocacy; Program replication,Education facilities and training,Education
Advocacy; Program support,Multisector education/training,Other Multisector
Advocacy; Program support; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Advocacy; Program support; Conference attendance,Multisector education/training,Other Multisector
Advocacy; Program support; Conferences and exhibits,Multisector education/training,Other Multisector
Advocacy; Program support; Equal access,Multisector education/training,Other Multisector
Advocacy; Program support; Equal access; Systems reform,Education facilities and training,Education
Advocacy; Program support; Equal access; Systems reform; Public engagement and education,Education facilities and training,Education
Advocacy; Program support; Equipment; Equal access; Participatory grantmaking,Education facilities and training,Education
Advocacy; Program support; Leadership and professional development; Equal access,Education facilities and training,Education
Advocacy; Program support; Leadership and professional development; Systems reform; Equal access,Education facilities and training,Education
Advocacy; Program support; Outreach,Multisector education/training,Other Multisector
Advocacy; Program support; Participatory grantmaking,Multisector education/training,Other Multisector
Advocacy; Program support; Public engagement and education,Education facilities and training,Education
Advocacy; Program support; Research,Education facilities and training,Education
Advocacy; Program support; Systems reform,Education facilities and training,Education
Advocacy; Public engagement and education,Education facilities and training,Education
Advocacy; Public engagement and education; Capacity-building and technical assistance,Education facilities and training,Education
Advocacy; Public engagement and education; Capacity-building and technical assistance; Grassroots organizing,Education facilities and training,Education
Advocacy; Public engagement and education; Capacity-building and technical assistance; Program evaluations,Education facilities and training,Education
Advocacy; Public engagement and education; Capacity-building and technical assistance; Systems reform; Equal access,Education facilities and training,Education
Advocacy; Public engagement and education; Coalition building; Grassroots organizing,Education facilities and training,Education
Advocacy; Public engagement and education; Conference attendance,Education facilities and training,Education
Advocacy; Public engagement and education; Emergency funds; Equal access; Systems reform; General support,Education facilities and training,Education
Advocacy; Public engagement and education; Equal access; Conferences and exhibits; Program support,Education facilities and training,Education
Advocacy; Public engagement and education; Equal access; Grassroots organizing,Education facilities and training,Education
Advocacy; Public engagement and education; Equal access; Grassroots organizing; Capacity-building and technical assistance; Coalition building; Systems reform,Education facilities and training,Education
Advocacy; Public engagement and education; Equal access; Grassroots organizing; Product and service delivery,Education facilities and training,Education
Advocacy; Public engagement and education; Equal access; Network-building and collaboration,Education facilities and training,Education
Advocacy; Public engagement and education; Equal access; Systems reform,Education facilities and training,Education
Advocacy; Public engagement and education; Ethics and accountability; General support,Education facilities and training,Education
Advocacy; Public engagement and education; Facilities maintenance,Education facilities and training,Education
Advocacy; Public engagement and education; Financial sustainability; Equal access; Grassroots organizing,Education facilities and training,Education
Advocacy; Public engagement and education; Grassroots organizing,Education facilities and training,Education
Advocacy; Public engagement and education; Grassroots organizing; Capacity-building and technical assistance,Education facilities and training,Education
Advocacy; Public engagement and education; Grassroots organizing; Capacity-building and technical assistance; Network-building and collaboration,Education facilities and training,Education
Advocacy; Public engagement and education; Participatory grantmaking,Education facilities and training,Education
Advocacy; Public engagement and education; Product and service delivery,Education facilities and training,Education
Advocacy; Public engagement and education; Program support; Equal access; General support,Education facilities and training,Education
Advocacy; Public engagement and education; Research,Education facilities and training,Education
Advocacy; Public engagement and education; Research and evaluation,Education facilities and training,Education
Advocacy; Public engagement and education; System and operational improvements,Education facilities and training,Education
Advocacy; Public engagement and education; System and operational improvements; Information and Referral,Education facilities and training,Education
Advocacy; Public engagement and education; Systems reform,Education facilities and training,Education
Advocacy; Public engagement and education; Systems reform; Equal access,Education facilities and training,Education
Advocacy; Public engagement and education; Systems reform; Network-building and collaboration; Coalition building,Education facilities and training,Education
Advocacy; Research and evaluation; Program support,Education facilities and training,Education
Advocacy; Research; Ethics and accountability; Program support,Educational research,Education
Advocacy; Research; General support; Continuing support,Education facilities and training,Education
Advocacy; System and operational improvements,Education facilities and training,Education
Advocacy; System and operational improvements; Equal access; Litigation,Education facilities and training,Education
Advocacy; System and operational improvements; Public engagement and education,Education facilities and training,Education
Advocacy; Systems reform,Education facilities and training,Education
Advocacy; Systems reform; Capacity-building and technical assistance,Education facilities and training,Education
Advocacy; Systems reform; Equal access; Outreach,Other Multisector,Other Multisector
Advocacy; Systems reform; Ethics and accountability,Education facilities and training,Education
Advocacy; Systems reform; Outreach,Other Multisector,Other Multisector
Advocacy; Systems reform; Participatory grantmaking,Other Multisector,Other Multisector
Advocacy; Systems reform; Public engagement and education,Education facilities and training,Education
Advocacy; Systems reform; Public engagement and education; Equal access,Education facilities and training,Education
Advocacy; Systems reform; Public engagement and education; Program support,Education facilities and training,Education
Advocacy; Technical assistance,Advanced technical and managerial training,Post-Secondary Education
"Awards, prizes and competitions",Other Multisector,Other Multisector
"Awards, prizes and competitions; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Publications",Public sector policy and administrative management,Government & Civil Society
"Awards, prizes and competitions; Recordings",Other Multisector,Other Multisector
Building acquisitions; Equal access; Program support,Other Multisector,Other Multisector
Building acquisitions; Equipment; Conference attendance; Capacity-building and technical assistance,Other Multisector,Other Multisector
Building and renovations,Industrial development,Industry
"Building and renovations; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Program expansion",Industrial development,Industry
Building and renovations; Advocacy; Program support,Education facilities and training,Education
Building and renovations; Capacity-building and technical assistance; Conferences and exhibits,Technological research and development,Industry
"Building and renovations; Equipment; Advocacy; Equal access; Policy, advocacy and systems reform",Industrial development,Industry
Building and renovations; Equipment; Participatory grantmaking,Industrial development,Industry
Building and renovations; Equipment; Rent,Industrial development,Industry
Building and renovations; Faculty and staff development,Industrial development,Industry
Building and renovations; General support,Industrial development,Industry
Building and renovations; Program support,Multisector education/training,Other Multisector
Building and renovations; Technical assistance,Education facilities and training,Education
Building and renovations; Technical assistance; Participatory grantmaking,Education facilities and training,Education
Capacity-building and technical assistance,Technological research and development,Industry
Capacity-building and technical assistance; Advocacy,Technological research and development,Industry
Capacity-building and technical assistance; Advocacy; Conference attendance,Technological research and development,Industry
Capacity-building and technical assistance; Advocacy; Conference attendance; Publications; Participatory grantmaking,Technological research and development,Industry
Capacity-building and technical assistance; Advocacy; Conferences and exhibits; Grassroots organizing; Management and leadership development,Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Emergency funds; Conferences and exhibits,Educational research,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Ethics and accountability; Grassroots organizing; Systems reform; Policy, advocacy and systems reform; Public engagement and education",Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Equal access; Ethics and accountability; Litigation; Leadership and professional development; Research,Education facilities and training,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Ethics and accountability; Systems reform; Policy, advocacy and systems reform",Education facilities and training,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Ethics and accountability; Systems reform; Policy, advocacy and systems reform; Public engagement and education","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Ethics and accountability; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Research; Online engagement","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Grassroots organizing; Policy, advocacy and systems reform; Participatory grantmaking","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Grassroots organizing; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Participatory grantmaking",Education facilities and training,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Grassroots organizing; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Regranting; Donor collaborations",Education facilities and training,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Litigation; Policy, advocacy and systems reform",Education facilities and training,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Policy, advocacy and systems reform","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Policy, advocacy and systems reform; Convening; Participatory grantmaking","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Policy, advocacy and systems reform; Participatory grantmaking","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Policy, advocacy and systems reform; Pilot programs; Research","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Policy, advocacy and systems reform; Public engagement and education; Participatory grantmaking",Education facilities and training,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Policy, advocacy and systems reform; Public engagement and education; Program expansion; Network-building and collaboration; Participatory grantmaking",Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Equal access; Public engagement and education,"Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Equipment; Faculty and staff development; Rent; Participatory grantmaking","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Network-building and collaboration; Public engagement and education","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Participatory grantmaking","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Product and service delivery","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Network-building and collaboration; Participatory grantmaking",Education facilities and training,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Nonprofit collaborations",Education facilities and training,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Participatory grantmaking",Education facilities and training,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Performances ; Recordings",Education facilities and training,Education
"Capacity-building and technical assistance; Advocacy; Equal access; Systems reform; Public engagement and education; Policy, advocacy and systems reform; Network-building and collaboration",Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; General support; Grassroots organizing,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Advocacy; General support; Grassroots organizing; Litigation; Network-building and collaboration,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Advocacy; General support; Grassroots organizing; Network-building and collaboration,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Advocacy; General support; Grassroots organizing; Network-building and collaboration; Presentations and productions,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Advocacy; General support; Grassroots organizing; Presentations and productions,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Advocacy; Grassroots organizing,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Advocacy; Grassroots organizing; Conferences and exhibits; Management and leadership development,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Advocacy; Grassroots organizing; Litigation; Presentations and productions,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Advocacy; Grassroots organizing; Network-building and collaboration,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Advocacy; Management and leadership development,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Advocacy; Network-building and collaboration,Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Nonprofit collaborations; Participatory grantmaking,Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Online engagement; Information and Referral; Equal access; Systems reform,Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Participatory grantmaking,Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Presentations and productions; Participatory grantmaking,Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Public engagement and education,Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Public engagement and education; Building and renovations,Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Public engagement and education; Ethics and accountability; Research; Continuing support,Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Public engagement and education; Grassroots organizing; Leadership and professional development; Information and Referral,Education facilities and training,Education
Capacity-building and technical assistance; Advocacy; Public engagement and education; Participatory grantmaking,Education facilities and training,Education
Capacity-building and technical assistance; Board development,Education facilities and training,Education
Capacity-building and technical assistance; Capital and infrastructure,Industrial development,Industry
Capacity-building and technical assistance; Conference attendance; Systems reform; Advocacy,Education facilities and training,Education
Capacity-building and technical assistance; Conference hosting ; Nonprofit collaborations,Education facilities and training,Education
Capacity-building and technical assistance; Conferences and exhibits,Education facilities and training,Education
Capacity-building and technical assistance; Conferences and exhibits; Outreach,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Continuing support; Advocacy; Systems reform; Program support; Network-building and collaboration,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Continuing support; General support,Multisector education/training,Other Multisector
"Capacity-building and technical assistance; Continuing support; Policy, advocacy and systems reform; Presentations and productions",Multisector education/training,Other Multisector
"Capacity-building and technical assistance; Data and measurement systems; Policy, advocacy and systems reform; Program support",Multisector education/training,Other Multisector
Capacity-building and technical assistance; Equal access,Advanced technical and managerial training,Post-Secondary Education
Capacity-building and technical assistance; Equal access; Advocacy,Advanced technical and managerial training,Post-Secondary Education
"Capacity-building and technical assistance; Equal access; Policy, advocacy and systems reform; Public engagement and education; Continuing support",Education facilities and training,Education
"Capacity-building and technical assistance; Equal access; Policy, advocacy and systems reform; Public engagement and education; Network-building and collaboration; Continuing support",Education facilities and training,Education
"Capacity-building and technical assistance; Equal access; Policy, advocacy and systems reform; Public engagement and education; Program support",Education facilities and training,Education
Capacity-building and technical assistance; Equal access; Program support,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Equipment,Education facilities and training,Education
Capacity-building and technical assistance; Ethics and accountability; Advocacy,Advanced technical and managerial training,Post-Secondary Education
Capacity-building and technical assistance; Ethics and accountability; Equal access,Advanced technical and managerial training,Post-Secondary Education
Capacity-building and technical assistance; Ethics and accountability; Equal access; Advocacy,Advanced technical and managerial training,Post-Secondary Education
Capacity-building and technical assistance; Faculty and staff development,Advanced technical and managerial training,Post-Secondary Education
Capacity-building and technical assistance; Faculty and staff development; Advocacy; Program support,Advanced technical and managerial training,Post-Secondary Education
"Capacity-building and technical assistance; Faculty and staff development; Policy, advocacy and systems reform; Public engagement and education; General support",Education facilities and training,Education
"Capacity-building and technical assistance; Fellowships; Policy, advocacy and systems reform; Public engagement and education; General support",Advanced technical and managerial training,Post-Secondary Education
Capacity-building and technical assistance; General support,Multisector education/training,Other Multisector
Capacity-building and technical assistance; General support; Equal access,Multisector education/training,Other Multisector
Capacity-building and technical assistance; General support; Equal access; Financial services,Multisector education/training,Other Multisector
Capacity-building and technical assistance; General support; Equal access; Product and service delivery,Multisector education/training,Other Multisector
Capacity-building and technical assistance; General support; Grassroots organizing,Multisector education/training,Other Multisector
Capacity-building and technical assistance; General support; Grassroots organizing; Network-building and collaboration,Multisector education/training,Other Multisector
Capacity-building and technical assistance; General support; Network-building and collaboration,Multisector education/training,Other Multisector
Capacity-building and technical assistance; General support; Product and service delivery,Multisector education/training,Other Multisector
Capacity-building and technical assistance; General support; Program support,Multisector education/training,Other Multisector
Capacity-building and technical assistance; General support; Public engagement and education; Grassroots organizing,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Grassroots organizing,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Grassroots organizing; Continuing support; Advocacy,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Grassroots organizing; Network-building and collaboration,Multisector education/training,Other Multisector
"Capacity-building and technical assistance; Grassroots organizing; Policy, advocacy and systems reform; Public engagement and education; General support",Multisector education/training,Other Multisector
Capacity-building and technical assistance; Grassroots organizing; Presentations and productions,Education facilities and training,Education
Capacity-building and technical assistance; Grassroots organizing; Program support; Conference attendance; Advocacy,Education facilities and training,Education
Capacity-building and technical assistance; Grassroots organizing; Public engagement and education; General support,Education facilities and training,Education
Capacity-building and technical assistance; Information and Referral; Public engagement and education; General support,Education facilities and training,Education
Capacity-building and technical assistance; Leadership and professional development; Advocacy; Systems reform,Other Multisector,Other Multisector
Capacity-building and technical assistance; Litigation,Other Multisector,Other Multisector
"Capacity-building and technical assistance; Litigation; Policy, advocacy and systems reform; Program support",Other Multisector,Other Multisector
Capacity-building and technical assistance; Network-building and collaboration; Advocacy,Other Multisector,Other Multisector
"Capacity-building and technical assistance; Network-building and collaboration; Advocacy; Equal access; Policy, advocacy and systems reform; Recordings",Other Multisector,Other Multisector
Capacity-building and technical assistance; Network-building and collaboration; Advocacy; Participatory grantmaking,Other Multisector,Other Multisector
Capacity-building and technical assistance; Network-building and collaboration; Advocacy; Public engagement and education,Other Multisector,Other Multisector
